name,price,speed,modules,color,first_word_latency,cas_latency
Crucial CT2K16G48C40U5 32 GB,87.66,"54,800","2,16",Black,16.667,40
Corsair Dominator Titanium 64 GB,289.99,"56,000","2,32",Black,10,30
G.Skill Trident Z RGB 96 GB,339.99,"56,400","2,48",Black,10,32
TEAMGROUP T-Create Expert 32 GB,94.99,"56,000","2,16",White,12.667,38
Corsair Vengeance RGB 32 GB,127.99,"56,000","2,16",Black,12,36
OLOy OWL RGB 16 GB,42.99,"43,200","2,8",White,10,16
G.Skill Trident Z5 RGB 64 GB,214.99,"56,000","2,32",Black,10,30
Kingston FURY Beast 16 GB,44.85,"43,200","1,16",Black,10,16
Corsair Vengeance LPX 16 GB,41.99,"42,400","2,8",Black / Yellow,13.333,16
Corsair Vengeance RGB Pro 16 GB,63.99,"43,600","2,8",White,10,18
Patriot Signature Premium 16 GB,24.99,"42,666","1,16",Black,14.254,19
Kingston FURY 32 GB,146.3,"56,000","2,16",White,13.333,40
TEAMGROUP T-Force Vulcan Z 64 GB,114.99,"43,200","2,32",Gray,10,16
Mushkin Redline ST 64 GB,209.99,"56,400","2,32",Black,9.375,30
Corsair Vengeance RGB 32 GB,129.99,"56,400","2,16",White / Black,11.25,36
G.Skill Trident Z RGB 32 GB,109.99,"43,200","4,8",Black,10,16
Corsair Vengeance RGB RS 16 GB,59.99,"43,200","2,8",Black / Gray,10,16
Kingston FURY Beast 16 GB,58.99,"55,200","1,16",Black / Silver,15.385,40
TEAMGROUP T-Force Vulcan 32 GB,96.99,"55,600","2,16",Red,11.429,32
TEAMGROUP T-Force Delta RGB 32 GB,67.98,"43,200","2,16",Black,10,16
Lexar Ares RGB 32 GB,165.99,"56,400","2,16",White,10,32
Samsung M378B5173DB0-CK0 4 GB,12.83,"31,600","1,4",Green,13.75,11
OLOy MD4U1636181CHKDA 32 GB,71.99,"43,600","2,16",Black,10,18
Kingston FURY Beast RGB 128 GB,447.15,"55,200","4,32",Black,15.385,40
Corsair Vengeance 64 GB,229.99,"56,000","2,32",Black / Gray,10,30
TEAMGROUP Elite 64 GB,108.99,"43,200","2,32",Black,13.75,22
